"English","Tamazight_Sentence","Dialect","Tamazight","Tamazight_Latin","Tamazight_Arabic"
"Ayur got up from his bed, washed his face. He ate his breakfast. He shook his bag and left the house.","ⵉⵏⴽⵔ ⵡⴰⵢⵢⵓⵔ ⵉⵥⵥⴰⵢ, ⵉⵙⵙⵉⵔⴷ ⴰⵇⵎⵎⵓ ⵏⵏⵙ. ⵉⵛⵛⴰ ⵜⴰⴳⵎⴳⵉⵎⵜ ⵏⵏⵙ. ⵢⴰⵙⵉ ⴰⵇⵕⴰⴱ ⵏⵏⵙ ⴰⵀⴰ ⵉⴼⴼⵖ ⵙⴳ ⵊⴳⴳⵯⴰ.","Central","ⵉⵏⴽⵔ ⵡⴰⵢⵢⵓⵔ ⵉⵥⵥⴰⵢ, ⵉⵙⵙⵉⵔⴷ ⴰⵇⵎⵎⵓ ⵏⵏⵙ. ⵉⵛⵛⴰ ⵜⴰⴳⵎⴳⵉⵎⵜ ⵏⵏⵙ. ⵢⴰⵙⵉ ⴰⵇⵕⴰⴱ ⵏⵏⵙ ⴰⵀⴰ ⵉⴼⴼⵖ ⵙⴳ ⵊⴳⴳⵯⴰ.","inkr wayyur iẓẓay, issird aqmmu nns. ishsha tagmgimt nns. yasi aqṛab nns aha iffɣ sg jggⵯa.","ينكر واييور يزّزّاي, يسسيرد اقممو ننس. يششا تاڭمڭيمت ننس. ياسي اقراب ننس اها يففغ سڭ جڭڭⵯا."
"On the way, Ayur met his friends, Afkay and Asnmar, who read with him at school. They all went together talking until they reached the school.","ⴳ ⵓⵖⴰⵕⴰⵙ ⵏⵏⵙ; ⵉⵏⵏⵓⵍ ⴰⵢⵢⵓⵔ ⵉⵎⴷⴷⵓⴽⴰⵍ ⵏⵏⵙ, ⴰⴼⴽⴰⵢ ⴷ ⵓⵙⵏⵎⵎⴰⵔ ⴷⴰ ⵉⵇⵇⵕⴰⵏ ⴷ ⵉⴷ ⴰⵙ ⴳ ⵜⵉⵏⵎⵍ. ⴷⴷⴰⵏ ⴰⴽⴽⵯ ⴰⵔ ⵙⴰⵡⵡⴰⵍⵏ ⴰⵍⵍⵉⴳ ⵍⴽⵎⵏ ⵜⵉⵏⵎⵍ.","Central","ⴳ ⵓⵖⴰⵕⴰⵙ ⵏⵏⵙ; ⵉⵏⵏⵓⵍ ⴰⵢⵢⵓⵔ ⵉⵎⴷⴷⵓⴽⴰⵍ ⵏⵏⵙ, ⴰⴼⴽⴰⵢ ⴷ ⵓⵙⵏⵎⵎⴰⵔ ⴷⴰ ⵉⵇⵇⵕⴰⵏ ⴷ ⵉⴷ ⴰⵙ ⴳ ⵜⵉⵏⵎⵍ. ⴷⴷⴰⵏ ⴰⴽⴽⵯ ⴰⵔ ⵙⴰⵡⵡⴰⵍⵏ ⴰⵍⵍⵉⴳ ⵍⴽⵎⵏ ⵜⵉⵏⵎⵍ.","g uɣaṛas nns; innul ayyur imddukal nns, afkay d usnmmar da iqqṛan d id as g tinml. ddan akkⵯ ar sawwaln allig lkmn tinml.","ڭ وغاراس ننس; يننول اييور يمددوكال ننس, افكاي د وسنممار دا يققران د يد اس ڭ تينمل. ددان اككⵯ ار ساووالن الليڭ لكمن تينمل."
"The history of this archaeological site dates back to the twelfth century BC, according to some Greek and Roman texts.","ⵉⵡⵉⵏ ⴷ ⴽⵔⴰ ⵏ ⵉⴹⵕⵉⵚⵏ ⵏ ⵉⴳⵔⵉⴽⵏ ⴷ ⵉⵕⵓⵎⵉⵢⵏ ⵎⴰⵙ ⴷⴰ ⵉⵜⵜⵓⵔⵔⴰⵢ ⵓⵎⵣⵔⵓⵢ ⵏ ⵍⵉⴽⵙⵓⵙ ⴰⵔ ⵜⴰⵙⵓⵜ ⵜⵉⵙ ⵙⵏⴰⵜ ⴷ ⵎⵔⴰⵡⵜ ⴷⴰⵜ ⵏ ⵜⵍⴰⵍⵉⵜ.","Central","ⵉⵡⵉⵏ ⴷ ⴽⵔⴰ ⵏ ⵉⴹⵕⵉⵚⵏ ⵏ ⵉⴳⵔⵉⴽⵏ ⴷ ⵉⵕⵓⵎⵉⵢⵏ ⵎⴰⵙ ⴷⴰ ⵉⵜⵜⵓⵔⵔⴰⵢ ⵓⵎⵣⵔⵓⵢ ⵏ ⵍⵉⴽⵙⵓⵙ ⴰⵔ ⵜⴰⵙⵓⵜ ⵜⵉⵙ ⵙⵏⴰⵜ ⴷ ⵎⵔⴰⵡⵜ ⴷⴰⵜ ⵏ ⵜⵍⴰⵍⵉⵜ.","iwin d kra n iḍṛiṣn n igrikn d iṛumiyn mas da itturray umzruy n liksus ar tasut tis snat d mrawt dat n tlalit.","يوين د كرا ن يضريصن ن يڭريكن د يروميين ماس دا يتتورراي ومزروي ن ليكسوس ار تاسوت تيس سنات د مراوت دات ن تلاليت."
"It includes the Temple District, the Roman Theater, public baths, a luxurious palace built during the reign of the Amazigh king Yuba II, a large industrial complex for fish processing, the remains of the houses in which the citizens lived, and through which the house designs appear.","ⵜⵍⵍⴰ ⴳⵉⵙ ⵜⵓⴷⴷⵓⵔⵜ ⵏ ⵉⵙⵓⵎⴰⵖ, ⴰⵎⵣⴳⵓⵏ ⴰⵕⵓⵎⵉⵢ, ⵉⵙⴰⵔⵓⴷⵏ ⵉⴳⴷⵓⴷⴰⵏⵏ, ⵉⵖⵔⵎ ⴰⵅⴰⵜⴰⵔ ⵉⵜⵜⵓⵚⴽⴰ ⴳ ⵓⵣⵎⵣ ⵏ ⵓⴳⵍⵍⵉⴷ ⴰⵎⴰⵣⵉⵖ ⵢⵓⴱⴰ ⵡⵉⵙ ⵙⵉⵏ, ⵓⴷⴷⵉⵙ ⴰⵎⴳⵓⵔⴰⵏ ⴰⴱⴰⵔⴰⵡ ⵉ ⵓⵙⵎⴰⴽⵍ ⵏ ⵉⵙⵍⵎⴰⵏ, ⴷ ⵉⵇⵓⵍⵍⵉⵊⵏ ⵏⵏⴰ ⵉⵙⴱⴰⵢⴰⵏⵏ ⴰⵖⴰⵡⴰⵙ ⵏ ⵜⴳⵯⵎⵎⴰ ⵍⵍⵉ ⴳ ⵣⴷⵖⵏ ⵉⵏⴰⵎⵓⵔⵏ. ","Central","ⵜⵍⵍⴰ ⴳⵉⵙ ⵜⵓⴷⴷⵓⵔⵜ ⵏ ⵉⵙⵓⵎⴰⵖ, ⴰⵎⵣⴳⵓⵏ ⴰⵕⵓⵎⵉⵢ, ⵉⵙⴰⵔⵓⴷⵏ ⵉⴳⴷⵓⴷⴰⵏⵏ, ⵉⵖⵔⵎ ⴰⵅⴰⵜⴰⵔ ⵉⵜⵜⵓⵚⴽⴰ ⴳ ⵓⵣⵎⵣ ⵏ ⵓⴳⵍⵍⵉⴷ ⴰⵎⴰⵣⵉⵖ ⵢⵓⴱⴰ ⵡⵉⵙ ⵙⵉⵏ, ⵓⴷⴷⵉⵙ ⴰⵎⴳⵓⵔⴰⵏ ⴰⴱⴰⵔⴰⵡ ⵉ ⵓⵙⵎⴰⴽⵍ ⵏ ⵉⵙⵍⵎⴰⵏ, ⴷ ⵉⵇⵓⵍⵍⵉⵊⵏ ⵏⵏⴰ ⵉⵙⴱⴰⵢⴰⵏⵏ ⴰⵖⴰⵡⴰⵙ ⵏ ⵜⴳⵯⵎⵎⴰ ⵍⵍⵉ ⴳ ⵣⴷⵖⵏ ⵉⵏⴰⵎⵓⵔⵏ. ","tlla gis tuddurt n isumaɣ, amzgun aṛumiy, isarudn igdudann, iɣrm akhatar ittuṣka g uzmz n ugllid amaziɣ yuba wis sin, uddis amguran abaraw i usmakl n islman, d iqullijn nna isbayann aɣawas n tgⵯmma lli g zdɣn inamurn. ","تللا ڭيس توددورت ن يسوماغ, امزڭون اروميي, يسارودن يڭدودانن, يغرم اخاتار يتتوصكا ڭ وزمز ن وڭلليد امازيغ يوبا ويس سين, ودديس امڭوران اباراو ي وسماكل ن يسلمان, د يقولليجن ننا يسبايانن اغاواس ن تڭⵯمما للي ڭ زدغن ينامورن. "
"generous","ⴰⴼⴽⴰⵢ","Central","ⴰⴼⴽⴰⵢ","afkay","افكاي"
"I didn't know what happened","ⵓⵔ ⵙⵙⵉⵏⵅ ⵎⴰ ⵉⵍⵍⴰⵏ; ","Central","ⵓⵔ ⵙⵙⵉⵏⵅ ⵎⴰ ⵉⵍⵍⴰⵏ; ","ur ssinkh ma illan; ","ور سسينخ ما يللان; "
"Did you see the empty road with no one?","ⵥⵕⵉⵅ ⴰⵖⴰⵕⴰⵙ ⵓⵔ ⵉⵍⵍⵉ ⴳⵉⵙ ⵢⴰⵏ?","Central","ⵥⵕⵉⵅ ⴰⵖⴰⵕⴰⵙ ⵓⵔ ⵉⵍⵍⵉ ⴳⵉⵙ ⵢⴰⵏ?","ẓṛikh aɣaṛas ur illi gis yan?","زّريخ اغاراس ور يللي ڭيس يان?"
"Mohamed","ⴰⵙⵏⵎⵎⴰⵔ","Central","ⴰⵙⵏⵎⵎⴰⵔ","asnmmar","اسنممار"
"The sky is now covered in winter, did you not see it in the clouds?","ⵀⴰⵏ ⵢⵉⴳⵏⵏⴰ ⴷⵖⵉⵇ ⵎⴰ ⴰⴷ ⵜⴼⴼⵉ ⵙ ⵓⵏⵥⴰⵕ; ⵉⵙ ⵓⵔ ⴷⴰ ⵜⵙⴰⵇⵇⵓⵍⵎ ⴳ ⵓⵙⴳⵏⵓ?","Central","ⵀⴰⵏ ⵢⵉⴳⵏⵏⴰ ⴷⵖⵉⵇ ⵎⴰ ⴰⴷ ⵜⴼⴼⵉ ⵙ ⵓⵏⵥⴰⵕ; ⵉⵙ ⵓⵔ ⴷⴰ ⵜⵙⴰⵇⵇⵓⵍⵎ ⴳ ⵓⵙⴳⵏⵓ?","han yignna dɣiq ma ad tffi s unẓaṛ; is ur da tsaqqulm g usgnu?","هان ييڭننا دغيق ما اد تففي س ونزّار; يس ور دا تساققولم ڭ وسڭنو?"
"Lixus was mentioned by ancient writers such as Hanno the Navigator, the Carthaginian explorer in 450 BC.","ⵜⴻⵜⵜⵓⴱⴷⴰⵔ ⵍⵉⴽⵙⵓⵙ ⴷⴰⵔ ⵉⵎⴰⵔⴰⵜⵏ ⵉⵣⴰⵢⴽⵓⵏ ⵣⵓⵏ ⴷ ⵀⴰⵏⵓ ⵍⵎⵍⵍⴰⵃ, ⴰⵎⵃⴰⴽⴰ ⴰⵡⵇⴰⵕⵟⴰⵊ ⴳ ⵓⵙⴳⴳⵯⴰⵙ 450 ⴷⴰⵜ ⵏ ⵜⵍⴰⵍⵉⵜ.","Central","ⵜⴻⵜⵜⵓⴱⴷⴰⵔ ⵍⵉⴽⵙⵓⵙ ⴷⴰⵔ ⵉⵎⴰⵔⴰⵜⵏ ⵉⵣⴰⵢⴽⵓⵏ ⵣⵓⵏ ⴷ ⵀⴰⵏⵓ ⵍⵎⵍⵍⴰⵃ, ⴰⵎⵃⴰⴽⴰ ⴰⵡⵇⴰⵕⵟⴰⵊ ⴳ ⵓⵙⴳⴳⵯⴰⵙ 450 ⴷⴰⵜ ⵏ ⵜⵍⴰⵍⵉⵜ.","tettubdar liksus dar imaratn izaykun zun d hanu lmllaḥ, amḥaka awqaṛṭaj g usggⵯas 450 dat n tlalit.","ت°تتوبدار ليكسوس دار يماراتن يزايكون زون د هانو لمللاح, امحاكا اوقارطاج ڭ وسڭڭⵯاس 450 دات ن تلاليت."
"They shook their eyes completely and looked at the sky, and they shook their legs running. A little bit of the sky is cracking in the winter. Winter remained falling like a valley.","ⵙⵓⵇⵇⵍⵏ ⴰⴽⴽⵯ ⵙ ⵓⴼⵍⵍⴰ, ⴰⵙⵉⵏ ⵉⴹⴰⵕⵏ ⵏⵏⵙⵏ ⵙ ⵜⴰⵣⵍⴰ. ⵉⵎⵉⵇ ⵀⴰ ⵢⵉⴳⵏⵏⴰ ⵜⴱⴱⴹⵉ ⵙ ⵓⵏⵥⴰⵕ. ⵉⵇⵇⵉⵎ ⵓⵏⵥⴰⵕ ⴰⵔ ⵉⵟⵟⴰⵕ ⵡⴰⵏ ⵡⴰⵙⵉⴼ.","Central","ⵙⵓⵇⵇⵍⵏ ⴰⴽⴽⵯ ⵙ ⵓⴼⵍⵍⴰ, ⴰⵙⵉⵏ ⵉⴹⴰⵕⵏ ⵏⵏⵙⵏ ⵙ ⵜⴰⵣⵍⴰ. ⵉⵎⵉⵇ ⵀⴰ ⵢⵉⴳⵏⵏⴰ ⵜⴱⴱⴹⵉ ⵙ ⵓⵏⵥⴰⵕ. ⵉⵇⵇⵉⵎ ⵓⵏⵥⴰⵕ ⴰⵔ ⵉⵟⵟⴰⵕ ⵡⴰⵏ ⵡⴰⵙⵉⴼ.","suqqln akkⵯ s uflla, asin iḍaṛn nnsn s tazla. imiq ha yignna tbbḍi s unẓaṛ. iqqim unẓaṛ ar iṭṭaṛ wan wasif.","سوققلن اككⵯ س وفللا, اسين يضارن ننسن س تازلا. يميق ها ييڭننا تببضي س ونزّار. يققيم ونزّار ار يططار وان واسيف."
"Ayur opened his umbrella","ⵢⵓⵏⴼ ⴰⵢⵢⵓⵔ ⵜⴰⵔⴰⵏⵥⴰⵕⵜ ⵏⵏⵙ","Central","ⵢⵓⵏⴼ ⴰⵢⵢⵓⵔ ⵜⴰⵔⴰⵏⵥⴰⵕⵜ ⵏⵏⵙ","yunf ayyur taranẓaṛt nns","يونف اييور تارانزّارت ننس"
"They all enter in under it.","ⴽⵛⵎⵏ ⴰⴽⴽⵯ ⴷⴷⴰⵡ ⴰⵙ ","Central","ⴽⵛⵎⵏ ⴰⴽⴽⵯ ⴷⴷⴰⵡ ⴰⵙ ","kshmn akkⵯ ddaw as ","كشمن اككⵯ دداو اس "
"The Diada is celebrated on September 11th of each year; a festivity that dates back to September 11th, 1714.","As-Ameqran n-Catalunya itwasnen s La Diada taggant rabda 11 zi yur n 9 zi kur asegwas; manawya idakar gha umazruy n-sen aqddim n 11 zi yur n 9 zi 1714.","Tarifit","Aⵙ-Aⵎⴻⵇⵔⴰⵏ ⵏ-Cⴰⵝⴰⵍⵓⵏⵢⴰ ⵉⵝⵡⴰⵙⵏⴻⵏ ⵙ Lⴰ Dⵉⴰⴷⴰ ⵝⴰⴴⴴⴰⵏⵝ ⵔⴰⴲⴷⴰ 11 ⵣⵉ ⵢⵓⵔ ⵏ 9 ⵣⵉ ⴿⵓⵔ ⴰⵙⴻⴴⵡⴰⵙ; ⵎⴰⵏⴰⵡⵢⴰ ⵉⴷⴰⴿⴰⵔ ⴴⵁⴰ ⵓⵎⴰⵣⵔⵓⵢ ⵏ-ⵙⴻⵏ ⴰⵇⴷⴷⵉⵎ ⵏ 11 ⵣⵉ ⵢⵓⵔ ⵏ 9 ⵣⵉ 1714.","As-Ameqran n-Catalunya itwasnen s La Diada taggant rabda 11 zi yur n 9 zi kur asegwas; manawya idakar gha umazruy n-sen aqddim n 11 zi yur n 9 zi 1714.","As-Ameqran n-Catalunya itwasnen s La Diada taggant rabda 11 zi yur n 9 zi kur asegwas; manawya idakar gha umazruy n-sen aqddim n 11 zi yur n 9 zi 1714."
"Even when they reached the school, they didn't tell their things","ⴰⵍⵍⵉⴳ ⵍⴽⵎⵏ ⵜⵉⵏⵎⵍ ⵓⵔ ⵎⵎⵖⵏ ⵢⵉⴽⵜⵍⴰⵏ ⵏⵏⵙⵏ. ","Central","ⴰⵍⵍⵉⴳ ⵍⴽⵎⵏ ⵜⵉⵏⵎⵍ ⵓⵔ ⵎⵎⵖⵏ ⵢⵉⴽⵜⵍⴰⵏ ⵏⵏⵙⵏ. ","allig lkmn tinml ur mmɣn yiktlan nnsn. ","الليڭ لكمن تينمل ور ممغن ييكتلان ننسن. "
"According to Abdessalam Serroukh, head of the cultural department of the Larache municipality, the prominent historical monuments at the Lixus site represent only 10 percent of the monuments it contains, while 90 percent of them are still underground and have not yet been discovered, and when they are discovered, there is no doubt that they will overturn many historical facts.","ⵉⵏⵏⴰ ⵄⴰⴱⴷⵙⵙⵍⴰⵎ ⵚⵚⵕⵕⵓⵅ, ⴰⵙⵍⵡⴰⵢ ⵏ ⵜⵣⵓⵏⵉ ⵜⴰⴷⵍⵙⴰⵏⵜ ⴳ ⵜⵖⵉⵡⴰⵏⵜ ⵏ ⵍⵄⵔⴰⵢⵛ, ⵎⴰⵙ ⴷ ⵉⴷⵔⵉⵣⵏ ⵏ ⵓⵎⵣⵔⵓⵢ ⵏⵏⴰ ⵢⵓⵎⴰⵏⵏ ⴳ ⵡⴰⵏⵙⴰ ⵏ ⵍⵉⴽⵙⵓⵙ ⵓⵔ ⴳⵉⵏ ⴰⵎⵔ 10 ⴳ ⵜⵎⵉⴹⵉ ⵙⴳ ⵉⴷⵔⵉⵣⵏ ⵏⵏⴰ ⴰⴽⴽⵯ ⵢⵓⵎⴰ, ⵉⵎⴰ 90 ⴳ ⵜⵎⵉⴹⵉ ⵙⵓⵍⵏ ⵓⴽⴰⵏ ⴳ ⴷⴷⵓ ⵡⴰⴽⴰⵍ ⵓⵔ ⵜⴰ ⵜⵜⵓⵃⴰⴽⴰⵏ, ⴷ ⵓⵔ ⵜⵍⵍⵉ ⵜⵓⵔⴷⴰ ⵎⴰⵙ ⴷ ⴽⵓⴷⵏⵏⴰ ⵜⵜⵓⵃⴰⴽⴰⵏ ⵔⴰⴷ ⵙⵏⴼⵍⵏ ⵜⵓⴳⵜ ⵏ ⵜⵉⴷⴰⵜ ⵏ ⵓⵎⵣⵔⵓⵢ. ","Central","ⵉⵏⵏⴰ ⵄⴰⴱⴷⵙⵙⵍⴰⵎ ⵚⵚⵕⵕⵓⵅ, ⴰⵙⵍⵡⴰⵢ ⵏ ⵜⵣⵓⵏⵉ ⵜⴰⴷⵍⵙⴰⵏⵜ ⴳ ⵜⵖⵉⵡⴰⵏⵜ ⵏ ⵍⵄⵔⴰⵢⵛ, ⵎⴰⵙ ⴷ ⵉⴷⵔⵉⵣⵏ ⵏ ⵓⵎⵣⵔⵓⵢ ⵏⵏⴰ ⵢⵓⵎⴰⵏⵏ ⴳ ⵡⴰⵏⵙⴰ ⵏ ⵍⵉⴽⵙⵓⵙ ⵓⵔ ⴳⵉⵏ ⴰⵎⵔ 10 ⴳ ⵜⵎⵉⴹⵉ ⵙⴳ ⵉⴷⵔⵉⵣⵏ ⵏⵏⴰ ⴰⴽⴽⵯ ⵢⵓⵎⴰ, ⵉⵎⴰ 90 ⴳ ⵜⵎⵉⴹⵉ ⵙⵓⵍⵏ ⵓⴽⴰⵏ ⴳ ⴷⴷⵓ ⵡⴰⴽⴰⵍ ⵓⵔ ⵜⴰ ⵜⵜⵓⵃⴰⴽⴰⵏ, ⴷ ⵓⵔ ⵜⵍⵍⵉ ⵜⵓⵔⴷⴰ ⵎⴰⵙ ⴷ ⴽⵓⴷⵏⵏⴰ ⵜⵜⵓⵃⴰⴽⴰⵏ ⵔⴰⴷ ⵙⵏⴼⵍⵏ ⵜⵓⴳⵜ ⵏ ⵜⵉⴷⴰⵜ ⵏ ⵓⵎⵣⵔⵓⵢ. ","inna 3abdsslam ṣṣṛṛukh, aslway n tzuni tadlsant g tɣiwant n l3raysh, mas d idrizn n umzruy nna yumann g wansa n liksus ur gin amr 10 g tmiḍi sg idrizn nna akkⵯ yuma, ima 90 g tmiḍi suln ukan g ddu wakal ur ta ttuḥakan, d ur tlli turda mas d kudnna ttuḥakan rad snfln tugt n tidat n umzruy. ","يننا عابدسسلام صصرروخ, اسلواي ن تزوني تادلسانت ڭ تغيوانت ن لعرايش, ماس د يدريزن ن ومزروي ننا يومانن ڭ وانسا ن ليكسوس ور ڭين امر 10 ڭ تميضي سڭ يدريزن ننا اككⵯ يوما, يما 90 ڭ تميضي سولن وكان ڭ ددو واكال ور تا تتوحاكان, د ور تللي توردا ماس د كودننا تتوحاكان راد سنفلن توڭت ن تيدات ن ومزروي. "
"In the third century AD, Lixus became entirely Christian, and there are ruins of a Christian church overlooking the archaeological area.","ⴳ ⵜⴰⵙⵓⵜ ⵜⵉⵙ ⴽⵕⴰⴹⵜ ⵏ ⵜⵍⴰⵍⵉⵜ, ⵜⴳⴰ ⵍⵉⴽⵙⵓⵙ ⵜⴰⵎⴰⵙⵉⵃⵜ ⵙ ⵜⵉⵎⵎⴰⴷ ⵏⵏⵙ, ⵢⵉⵍⵉ ⵓⴷⵔⵉⵣ ⵏ ⵢⴰⵜ ⵜⴼⴰⵛⴳⴰ ⵜⴰⵎⴰⵙⵉⵃⵜ ⴰⵔ ⵜⵙⵙⴰⴳⴳⵯⴰ ⴰⵏⵙⴰ ⴰⴷⵔⵣⴰⵏ.","Central","ⴳ ⵜⴰⵙⵓⵜ ⵜⵉⵙ ⴽⵕⴰⴹⵜ ⵏ ⵜⵍⴰⵍⵉⵜ, ⵜⴳⴰ ⵍⵉⴽⵙⵓⵙ ⵜⴰⵎⴰⵙⵉⵃⵜ ⵙ ⵜⵉⵎⵎⴰⴷ ⵏⵏⵙ, ⵢⵉⵍⵉ ⵓⴷⵔⵉⵣ ⵏ ⵢⴰⵜ ⵜⴼⴰⵛⴳⴰ ⵜⴰⵎⴰⵙⵉⵃⵜ ⴰⵔ ⵜⵙⵙⴰⴳⴳⵯⴰ ⴰⵏⵙⴰ ⴰⴷⵔⵣⴰⵏ.","g tasut tis kṛaḍt n tlalit, tga liksus tamasiḥt s timmad nns, yili udriz n yat tfashga tamasiḥt ar tssaggⵯa ansa adrzan.","ڭ تاسوت تيس كراضت ن تلاليت, تڭا ليكسوس تاماسيحت س تيمماد ننس, ييلي ودريز ن يات تفاشڭا تاماسيحت ار تسساڭڭⵯا انسا ادرزان."
"The Moroccans continued to inhabit the city until the final decline in 1300 AD, and historians said that the abandonment of the population was due to drought.","ⵣⴷⵖⵏ ⵉⵡⵎⵓⵔⴰⴽⵓⵛⵏ ⴳ ⵜⵎⴷⵉⴷⵜ ⴰⵔ ⵍⵍⵉⴳ ⵜⵜ ⴼⵍⵏ ⵙ ⵢⴰⵜ ⵜⴽⴽⵍⵉⵜ ⴳ ⵓⵙⴳⴳⵯⴰⵙ 1300 ⵏ ⵜⵍⴰⵍⵉⵜ, ⵙ ⵓⵙⵔⴰⴳ ⵏ ⵜⴰⵖⴰⵔⵜ ⵎⴽⵍⵍⵉ ⵏⵏⴰⵏ ⵉⵏⵎⵣⵔⵓⵢⵏ.","Central","ⵣⴷⵖⵏ ⵉⵡⵎⵓⵔⴰⴽⵓⵛⵏ ⴳ ⵜⵎⴷⵉⴷⵜ ⴰⵔ ⵍⵍⵉⴳ ⵜⵜ ⴼⵍⵏ ⵙ ⵢⴰⵜ ⵜⴽⴽⵍⵉⵜ ⴳ ⵓⵙⴳⴳⵯⴰⵙ 1300 ⵏ ⵜⵍⴰⵍⵉⵜ, ⵙ ⵓⵙⵔⴰⴳ ⵏ ⵜⴰⵖⴰⵔⵜ ⵎⴽⵍⵍⵉ ⵏⵏⴰⵏ ⵉⵏⵎⵣⵔⵓⵢⵏ.","zdɣn iwmurakushn g tmdidt ar llig tt fln s yat tkklit g usggⵯas 1300 n tlalit, s usrag n taɣart mklli nnan inmzruyn.","زدغن يوموراكوشن ڭ تمديدت ار لليڭ تت فلن س يات تككليت ڭ وسڭڭⵯاس 1300 ن تلاليت, س وسراڭ ن تاغارت مكللي ننان ينمزروين."
"They did not move far away as they settled in the city of Larache near the site,"," ⵎⴰⵛⵛ ⵓⵔ ⵏⵏ ⴼⵍⵍⴰⵙ ⴰⴳⴳⵓⴳⵏ ⴽⵉⴳⴰⵏ, ⵣⴷⵖⵏ ⴳ ⵜⵎⴷⵉⵏⵜ ⵏ ⵍⵄⵔⴰⵢⵛ ⵜⴰⵎⴰ ⵏ ⵡⴰⵏⵙⴰ.","Central"," ⵎⴰⵛⵛ ⵓⵔ ⵏⵏ ⴼⵍⵍⴰⵙ ⴰⴳⴳⵓⴳⵏ ⴽⵉⴳⴰⵏ, ⵣⴷⵖⵏ ⴳ ⵜⵎⴷⵉⵏⵜ ⵏ ⵍⵄⵔⴰⵢⵛ ⵜⴰⵎⴰ ⵏ ⵡⴰⵏⵙⴰ."," mashsh ur nn fllas aggugn kigan, zdɣn g tmdint n l3raysh tama n wansa."," ماشش ور نن فللاس اڭڭوڭن كيڭان, زدغن ڭ تمدينت ن لعرايش تاما ن وانسا."
"Disdain of some Amazigh for the Amazigh language and people who speak it has caused many Amazighs to abandon their language ... and with the return of awareness of the linguistic and cultural heritage of the Amazigh heritage, the equation will change by the will and power of God,","ⴰⵙⵎⵥⵉ ⴷⴰ ⴷ ⵙⴽⵔⵏ ⴽⵔⴰ ⵏ ⵉⵎⴰⵣⵉⵖⵏ ⵉ ⵜⵓⵜⵍⴰⵢⵜ ⵏⵏⵙⵏ ⵜⴰⵎⴰⵣⵉⵖⵜ ⵢⵓⴷⵊⴰ ⴰⵃⵟⵟⴰⵟ ⵙⴳ ⵉⵙⵏ ⴰⴷ ⴳⵔⵏ ⵙ ⵜⵓⵜⵍⴰⵢⵜ ⵏⵏⵙⵏ ... ⵎⴰⵛⴰ ⴷⵖⵉⵇ,  ⴷ ⵓⵙⴽⵜⴰⵢ ⵏ ⵓⵎⵣⵔⵓⵢ ⴷ ⵜⵎⵢⵓⵔⵉⵏ ⵏ ⵜⵓⵜⵍⴰⵢⵜ ⴷ ⵜⵓⵙⵏⴰ ⵜⴰⵎⴰⵣⵉⵖⵜ ⴰⴽⴽⵯ ⴰⵢⴰⵏⵏⴰ  ⵎⴰ ⵉⵜⵜⴰⵏⴼⴰⵍ ⵙ ⵜⵣⵎⵔⵜ ⵏ ⵙⵉⴷⵉ ⵕⴱⴱⵉ.","Central","ⴰⵙⵎⵥⵉ ⴷⴰ ⴷ ⵙⴽⵔⵏ ⴽⵔⴰ ⵏ ⵉⵎⴰⵣⵉⵖⵏ ⵉ ⵜⵓⵜⵍⴰⵢⵜ ⵏⵏⵙⵏ ⵜⴰⵎⴰⵣⵉⵖⵜ ⵢⵓⴷⵊⴰ ⴰⵃⵟⵟⴰⵟ ⵙⴳ ⵉⵙⵏ ⴰⴷ ⴳⵔⵏ ⵙ ⵜⵓⵜⵍⴰⵢⵜ ⵏⵏⵙⵏ ... ⵎⴰⵛⴰ ⴷⵖⵉⵇ,  ⴷ ⵓⵙⴽⵜⴰⵢ ⵏ ⵓⵎⵣⵔⵓⵢ ⴷ ⵜⵎⵢⵓⵔⵉⵏ ⵏ ⵜⵓⵜⵍⴰⵢⵜ ⴷ ⵜⵓⵙⵏⴰ ⵜⴰⵎⴰⵣⵉⵖⵜ ⴰⴽⴽⵯ ⴰⵢⴰⵏⵏⴰ  ⵎⴰ ⵉⵜⵜⴰⵏⴼⴰⵍ ⵙ ⵜⵣⵎⵔⵜ ⵏ ⵙⵉⴷⵉ ⵕⴱⴱⵉ.","asmẓi da d skrn kra n imaziɣn i tutlayt nnsn tamaziɣt yudja aḥṭṭaṭ sg isn ad grn s tutlayt nnsn ... masha dɣiq,  d usktay n umzruy d tmyurin n tutlayt d tusna tamaziɣt akkⵯ ayanna  ma ittanfal s tzmrt n sidi ṛbbi.","اسمزّي دا د سكرن كرا ن يمازيغن ي توتلايت ننسن تامازيغت يودجا احططاط سڭ يسن اد ڭرن س توتلايت ننسن ... ماشا دغيق,  د وسكتاي ن ومزروي د تميورين ن توتلايت د توسنا تامازيغت اككⵯ اياننا  ما يتتانفال س تزمرت ن سيدي رببي."
"Now","ⵔⵓⵅⴰ","Tarifit","ⵔⵓⵅⴰ","rukha","روخا"
"Today","ⴰⵙⵙⴰ","Tarifit","ⴰⵙⵙⴰ","assa","اسسا"
"Day","ⴰⵙⵙ","Tarifit","ⴰⵙⵙ","ass","اسس"
"Yesterday","ⵉⴷⴻⵏⵏⴰⵜ","Tarifit","ⵉⴷⴻⵏⵏⴰⵜ","idennat","يد°ننات"
