English,Tamazight,Tamazight_Latin,Tamazight_Arabic
"Remember that we need permission to publish those sentences, so always ensure that the text belongs to the <wikipediaLink>public domain</wikipediaLink>. If there is no explicit indication, reach out to the person that the text belongs to and ask if they want to contribute their text to the Public Domain. If they want to, help them go through the <cc0WaiverLink>Contributions Agreement</cc0WaiverLink> process. If they do not want to contribute the text, then you are not allowed to use that text.","ⴽⵜⵢⴰⵜ ⵎⴰⵙ ⵏⵓⵙⵔ ⵜⵓⵔⴰⴳⵜ ⵃⵎⴰ ⴰⴷ ⵏⴼⵙⵔ ⵜⵉⵡⵉⵏⴰⵙ ⴰⴷ, ⵉⵡⴰ ⵜⵜⴹⴽⴰⵍⴰⵜ ⴰⴱⴷⴰ ⵎⴰⵙ ⴷ ⴰⴹⵕⵉⵚ ⵉⴳⴰ ⵙⴳ <wikipediaLink>ⵡⴰⴳⵍⴰ ⴰⴳⴷⵓⴷⴰⵏ</wikipediaLink>. ⵎⴽ ⵓⵔ ⵉⵍⵍⵉ ⴽⵔⴰ ⵏ ⵓⵙⴽⴰⵏ ⵉⴼⵔⵔⵣⵏ, ⵏⵢⴰⵍⴽⴰⵎⴰⵜ ⴰⴽⴷ ⵓⴼⴳⴰⵏ ⵏⵏⴰ ⵎⵉ ⵉⴳⴰ ⵓⴹⵕⵉⵚ ⵡⵉⵏⵏⵙ, ⵜⵙⵇⵙⴰⵎ ⵜ ⵎⴽ ⵉⵅⵙ ⴰⴷ ⵢⴰⵔⴳ ⴰⴹⵕⵉⵚ ⵏⵏⵙ ⵉ ⵡⴰⴳⵍⴰ ⴰⴳⴷⵓⴷⴰⵏ. ⵎⴽ ⵉⵅⵙ, ⴰⵡⵙⴰⵜ ⴰⵙ ⴰⴷ ⵉⵣⴳⵔ ⵜⵉⵣⵉⴳⵣⵜ ⵏ <cc0WaiverLink>ⵓⵎⵙⴰⵙⴰ ⵏ ⵡⴰⵔⵔⴰⴳⵏ</cc0WaiverLink>. ⵎⴽ ⵓⵔ ⵉⵅⵙ ⴰⴷ ⵢⴰⵔⴳ ⴰⴹⵕⵉⵚ, ⵓⵔ ⵖⵓⵔⵓⵏ ⵜⵓⵔⴰⴳⵜ ⴰⴷ ⵜⵙⵙⵎⵔⵙⵎ ⴰⴹⵕⵉⵚ ⵏⵏⴰ.","ktyat mas nusr turagt ḥma ad nfsr tiwinas ad, iwa ttḍkalat abda mas d aḍṛiṣ iga sg <wikipediaLink>wagla agdudan</wikipediaLink>. mk ur illi kra n uskan ifrrzn, nyalkamat akd ufgan nna mi iga uḍṛiṣ winns, tsqsam t mk ikhs ad yarg aḍṛiṣ nns i wagla agdudan. mk ikhs, awsat as ad izgr tizigzt n <cc0WaiverLink>umsasa n warragn</cc0WaiverLink>. mk ur ikhs ad yarg aḍṛiṣ, ur ghurun turagt ad tssmrsm aḍṛiṣ nna.","كتيات ماس نوسر توراڭت حما اد نفسر تيويناس اد, يوا تتضكالات ابدا ماس د اضريص يڭا سڭ <wikipediaLink>واڭلا اڭدودان</wikipediaLink>. مك ور يللي كرا ن وسكان يفررزن, نيالكامات اكد وفڭان ننا مي يڭا وضريص ويننس, تسقسام ت مك يخس اد يارڭ اضريص ننس ي واڭلا اڭدودان. مك يخس, اوسات اس اد يزڭر تيزيڭزت ن <cc0WaiverLink>ومساسا ن وارراڭن</cc0WaiverLink>. مك ور يخس اد يارڭ اضريص, ور غورون توراڭت اد تسسمرسم اضريص ننا."
Learn more.,ⵙⵙⵏ ⵓⴳⴳⴰⵔ.,ssn uggar.,سسن وڭڭار.
When will you release Common Voice data in other languages?,ⵎⵍⵎⵉ ⵔⴰⴷ ⵜⵙⵙⵓⴼⵖⵎ ⵉⵙⴼⴽⴰ ⵏ ⴽⴰⵎⵏⴼⵓⵢⵙ ⵙ ⵜⵓⵜⵍⴰⵢⵉⵏ ⵢⴰⴹⵏⵉⵏ?,mlmi rad tssufghm isfka n kamnfuys s tutlayin yaḍnin?,ملمي راد تسسوفغم يسفكا ن كامنفويس س توتلايين ياضنين?
Serbian,ⵜⴰⵚⵉⵕⴱⵉⵜ,taṣiṛbit,تاصيربيت
Why a profile?,ⵎⴰⵅ ⵉⴼⵔⵙ?,makh ifrs?,ماخ يفرس?
"Try { -send-brand } for simple, safe file sharing.",ⴰⵔⵎⴰⵜ { -send-brand } ⵉ ⵓⴱⵟⵟⵓ ⴰⴼⵔⴰⵔ ⴷ ⵡⵓⴼⵔⵉⴳ ⵏ ⵉⴼⵓⵢⵍⴰ.,armat { -send-brand } i ubṭṭu afrar d wufrig n ifuyla.,ارمات { -send-brand } ي وبططو افرار د ووفريڭ ن يفويلا.
Ready to donate your voice?,ⵜⵎⵓⵜⵜⴳⵎ ⴰⴷ ⵜⴼⴽⵎ ⴰⴳⵕⴹ ⵏⵏⵓⵏ?,tmuttgm ad tfkm agṛḍ nnun?,تموتتڭم اد تفكم اڭرض ننون?
Translate,ⵙⵙⵓⵖⵍⴰⵜ,ssughlat,سسوغلات
Version,ⵜⴰⵍⵇⵇⵎⵜ,talqqmt,تالققمت
[Part of the text can’t be heard],[ⵓⵔ ⵜⴻⵜⵜⵓⵙⵍⵍⴰ ⵢⴰⵜ ⵜⴳⴹⴰⵎⵜ ⵙⴳ ⵓⴹⵕⵉⵚ],[ur tettuslla yat tgḍamt sg uḍṛiṣ],[ور ت°تتوسللا يات تڭضامت سڭ وضريص]
{ $countOfInvalidated } rejected by you,{ $countOfInvalidated } ⵜⵜⵢⴰⴳⴰⵢⵏⵉⵏ ⵙⴳ ⵖⵓⵔⵓⵏ,{ $countOfInvalidated } ttyagaynin sg ghurun,{ $countOfInvalidated } تتياڭاينين سڭ غورون
Hausa,ⵜⴰⵀⴰⵡⵙⵉⵜ,tahawsit,تاهاوسيت
Need some help with variants?,ⵜⵓⵙⵔⴷ ⴽⵔⴰ ⵏ ⵜⵡⵉⵙⵉ ⴰⴽⴷ ⵜⵎⵣⴰⵔⴰⵢⵉⵏ?,tusrd kra n twisi akd tmzarayin?,توسرد كرا ن تويسي اكد تمزارايين?
Welcome to Common Voice,ⴱⵔⵔⴽⴰⵜ ⴳ ⴽⴰⵎⵏⴼⵓⵢⵙ,brrkat g kamnfuys,برركات ڭ كامنفويس
Runyankole,ⵜⴰⵏⵢⴰⵏⴽⵓⵍⵜ,tanyankult,تانيانكولت
Manage Email Subscriptions,ⵙⵡⵓⴷⴷⵓ ⵉⵍⵜⴰⵖⵏ ⵏ ⵉⵎⴰⵢⵍ,swuddu iltaghn n imayl,سووددو يلتاغن ن يمايل
Meadow Mari,ⵜⴰⵎⴰⵔⵉⵢⵜ ⵏ ⵉⵍⵎⵓⵜⵏ,tamariyt n ilmutn,تامارييت ن يلموتن
Review could not be saved. Please try again later.,"ⵓⵔ ⵏⵣⵎⵉⵔ ⴰⴷ ⵏⵃⴹⵓ ⴰⵙⵙⵉⵔⵎ. ⵎⴽ ⵜⵓⴼⴰⵎ, ⴰⵔⵎⴰⵜ ⴷⴰⵖ ⴽⵓⴷⵏⵏⴰ.","ur nzmir ad nḥḍu assirm. mk tufam, armat dagh kudnna.","ور نزمير اد نحضو اسسيرم. مك توفام, ارمات داغ كودننا."
Vietnamese,ⵜⴰⴼⵢⵉⵟⵏⴰⵎⵉⵜ,tafyiṭnamit,تافييطناميت
Feedback,ⵜⴰⵙⴷⵎⵉⵔⵜ,tasdmirt,تاسدميرت
Voices Online Now,ⵉⴳⵕⴹⴰⵏ ⴳ ⵉⴼⵉⵍⵉ ⴷⵖⵉ,igṛḍan g ifili dghi,يڭرضان ڭ يفيلي دغي
"Reviewed sentences not submitted, are sure?","ⵓⵔ ⵜⵜⵢⴰⵣⴰⵏⵏⵜ ⵜⵡⵉⵏⴰⵙ ⵜⵜⵢⴰⵔⴰⵎⵏⵉⵏ, ⵜⵅⵙⴷ ⴰⴷ ⵜⵙⵎⴷⴷ?","ur ttyazannt twinas ttyaramnin, tkhsd ad tsmdd?","ور تتيازاننت تويناس تتيارامنين, تخسد اد تسمدد?"
Protect with password,ⴰⵔⵢ ⵙ ⵜⴳⵓⵔⵉ ⵏ ⵓⵣⵔⴰⵢ,ary s tguri n uzray,اري س تڭوري ن وزراي
Javanese,ⵜⴰⵊⴰⴼⴰⵏⵉⵜ,tajafanit,تاجافانيت
Incorrect password. Try again.,ⵜⴰⴳⵓⵔⵉ ⵏ ⵓⵣⵔⴰⵢ ⵓⵔ ⵢⵓⵖⵉⴷⵏ. ⴰⵔⵎ ⴷⴰⵖ.,taguri n uzray ur yughidn. arm dagh.,تاڭوري ن وزراي ور يوغيدن. ارم داغ.
The TED-LIUM corpus was made from audio talks and their transcriptions available on the TED website.,ⵉⵜⵜⵓⵙⴽⵔ ⵡⵓⴳⵔⵉⵡ ⵏ TED-LIUM ⵙⴳ ⵉⵎⵙⵉⵡⴰⵍⵏ ⵉⴳⵕⴹⴰⵏⵏ ⴷ ⵜⴰⵍⵙⴰⵔⵉⵜⵉⵏ ⵏⵏⵙⵏ ⵉⵙⴰⴳⴰⵏ ⴳ ⵓⵙⵉⵜⵡⵉⴱ ⵏ TED.,ittuskr wugriw n TED-LIUM sg imsiwaln igṛḍann d talsaritin nnsn isagan g usitwib n TED.,يتتوسكر ووڭريو ن TED-LIUM سڭ يمسيوالن يڭرضانن د تالساريتين ننسن يساڭان ڭ وسيتويب ن TED.
Download Dataset Bundle,ⴰⴳⵎ ⴰⵙⵎⵓⴹ ⵏ ⵜⴳⵔⵓⵎⵎⴰ ⵏ ⵉⵙⴼⴽⴰ,agm asmuḍ n tgrumma n isfka,اڭم اسموض ن تڭرومما ن يسفكا
Upload aborted. Do you want to delete your recordings?,ⵉⵙⵔⴳ ⵓⵙⴽⵜⵔ. ⵉⵙ ⵜⵅⵙⵎ ⴰⴷ ⵜⴽⴽⵙⵎ ⵉⵙⵓⵙⴰⵔ ⵏⵏⵓⵏ?,isrg usktr. is tkhsm ad tkksm isusar nnun?,يسرڭ وسكتر. يس تخسم اد تككسم يسوسار ننون?
The sentence must be spelled correctly.,ⵉⵇⵇⴰⵏ ⴷ ⴰⴷ ⵢⴰⵖⴷ ⵓⵙⵏⵎⴰⵔⵔⴰ ⵏ ⵜⵡⵉⵏⵙⵜ.,iqqan d ad yaghd usnmarra n twinst.,يققان د اد ياغد وسنماررا ن توينست.
Clips recorded,ⵜⵓⵙⵙⵉⴼⵉⵏ ⵜⵜⵓⵙⵓⵙⵔⵏⵉⵏ,tussifin ttususrnin,توسسيفين تتوسوسرنين
Could not change settings. Please try again.,"ⵓⵔ ⵏⵣⵎⵉⵔ ⴰⴷ ⵏⵙⵏⴼⵍ ⵜⵉⵙⵖⴰⵍ. ⵎⴽ ⵜⵓⴼⴰⵎ, ⴰⵔⵎⴰⵜ ⴷⴰⵖ.","ur nzmir ad nsnfl tisghal. mk tufam, armat dagh.","ور نزمير اد نسنفل تيسغال. مك توفام, ارمات داغ."
Komi-Zyrian,ⵜⴰⴽⵓⵎⵉⵣⵉⵔⴰⵏⵜ,takumizirant,تاكوميزيرانت
One sentence per line,ⵢⴰⵜ ⵜⵡⵉⵏⵙⵜ ⵉ ⵓⵣⵔⵉⴳ,yat twinst i uzrig,يات توينست ي وزريڭ
Thank you for donating your voice clips!,ⵜⴰⵏⵎⵎⵉⵔⵜ ⵅⴼ ⵜⵉⴽⴽⵉ ⵏ ⵜⵓⵙⵙⵉⴼⵉⵏ ⵜⵉⴳⵕⴹⴰⵏⵉⵏ ⵏⵏⵓⵏ!,tanmmirt khf tikki n tussifin tigṛḍanin nnun!,تانمميرت خف تيككي ن توسسيفين تيڭرضانين ننون!
Cancel Submission,ⵙⵔ ⴰⵣⴰⵏ,sr azan,سر ازان
"{ -send-brand } will not work with this browser. { -send-short-brand } works best with the latest version of { -firefox }, and will work with the current version of most browsers.","ⵓⵔ ⵔⴰⴷ ⵉⵙⵡⵓⵔⵉ { -send-brand } ⵙ ⵓⵎⵙⵙⴰⵔⴰ ⴰ. ⴷⴰ ⵉⵙⵡⵓⵔⵓⵢ { -send-short-brand } ⵎⵍⵉⵃ ⵙ ⵜⵍⵇⵇⵎⵜ ⵜⴰⵎⴳⴳⴰⵔⵓⵜ ⵏ { -firefox }, ⴷ ⵔⴰⴷ ⵉⵙⵡⵓⵔⵉ ⵙ ⵜⵍⵇⵇⵎⵜ ⵜⴰⵎⵉⵔⴰⵏⵜ ⵏ ⵓⵎⴰⵜⴰ ⵏ ⵉⵎⵙⵙⴰⵔⴰⵜⵏ.","ur rad iswuri { -send-brand } s umssara a. da iswuruy { -send-short-brand } mliḥ s tlqqmt tamggarut n { -firefox }, d rad iswuri s tlqqmt tamirant n umata n imssaratn.","ور راد يسووري { -send-brand } س ومسسارا ا. دا يسووروي { -send-short-brand } مليح س تلققمت تامڭڭاروت ن { -firefox }, د راد يسووري س تلققمت تاميرانت ن وماتا ن يمسساراتن."
Approve,ⵙⵙⴳⵍⵢ,ssgly,سسڭلي
Can't decide?,ⵓⵔ ⵜⵣⵎⵉⵔⴷ ⴰⴷ ⵜⵖⵜⵙⴷ?,ur tzmird ad tghtsd?,ور تزميرد اد تغتسد?
Connect with Gravatar,ⵣⴷⵢ ⵙ ⴳⵕⴰⴼⴰⵟⴰⵕ,zdy s gṛafaṭaṛ,زدي س ڭرافاطار
Validated Hours,ⵜⵉⵙⵔⴰⴳⵉⵏ ⵣⵔⵢⵏⵉⵏ,tisragin zrynin,تيسراڭين زرينين
Our Partners,ⵉⵎⵛⵛⵔⴽⵏ ⵏⵏⵖ,imshshrkn nngh,يمششركن ننغ
Soninke,ⵜⴰⵙⵓⵏⵉⵏⴽⵉⵜ,tasuninkit,تاسونينكيت
Search for them on the Internet,ⵔⵣⵓ ⴼⵍⵍⴰⵙⵏ ⴳ ⵡⴰⵏⵜⵉⵔⵏⵉⵜ,rzu fllasn g wantirnit,رزو فللاسن ڭ وانتيرنيت
Burmese,ⵜⴰⴱⵓⵔⵎⵉⵜ,taburmit,تابورميت
Ubykh,ⵜⴰⵡⴱⵉⵅⵉⵜ,tawbikhit,تاوبيخيت
The recording was too long.,ⵉⵖⵣⵣⵉⴼ ⵓⵙⵓⵙⵔ ⵙ ⴽⵉⴳⴰⵏ.,ighzzif ususr s kigan.,يغززيف وسوسر س كيڭان.
Error adding sentence,ⵜⴰⵣⴳⵍⵜ ⴳ ⵓⵣⴷⴰⵎ ⵏ ⵜⵡⵉⵏⵙⵜ,tazglt g uzdam n twinst,تازڭلت ڭ وزدام ن توينست
Malay,ⵜⴰⵎⴰⵍⴰⵢⵓⵜ,tamalayut,تامالايوت
Learn how to take part,ⵍⵎⴷ ⵎⴰⵏⵎⴽ ⵙ ⵔⴰⴷ ⵜⴷⵔⵓⴷ,lmd manmk s rad tdrud,لمد مانمك س راد تدرود
Zulu,ⵜⴰⵣⵓⵍⵓⵜ,tazulut,تازولوت
You,ⴽⵯⵏⵏⵉ,kⵯnni,كⵯنني
Missing an 's' at the end of a word.,ⴰⵅⵚⵚⴰ ⵏ 'ⵏ' ⴳ ⵜⴳⵉⵔⴰ ⵏ ⴽⵔⴰ ⵏ ⵜⴳⵓⵔⵉ.,akhṣṣa n 'n' g tgira n kra n tguri.,اخصصا ن 'ن' ڭ تڭيرا ن كرا ن تڭوري.
Sign In,ⴽⵛⵎ,kshm,كشم
"To make it into the Common Voice dataset, a voice clip must be validated by two separate users.","ⵃⵎⴰ ⴰⴷ ⵜⴰⴷⴼ ⴽⵔⴰ ⵏ ⵜⵓⵙⵙⵉⴼⵜ ⵜⴰⴳⵕⴹⴰⵏⵜ ⵖⵔ ⵜⴳⵔⵓⵎⵎⴰ ⵏ ⵉⵙⴼⴽⴰ ⵏ ⴽⴰⵎⵏⴼⵓⵢⵙ, ⵉⵇⵇⴰⵏ ⴷ ⴰⴷ ⵜⵜ ⵣⵣⵔⵢⵏ ⵙⵉⵏ ⵉⵏⵙⵙⵎⵔⵙⵏ ⵏⴳⴰⵔⴰⵏⵉⵏ.","ḥma ad tadf kra n tussift tagṛḍant ghr tgrumma n isfka n kamnfuys, iqqan d ad tt zzryn sin inssmrsn ngaranin.","حما اد تادف كرا ن توسسيفت تاڭرضانت غر تڭرومما ن يسفكا ن كامنفويس, يققان د اد تت ززرين سين ينسسمرسن نڭارانين."
"The Common Voice dataset complements Mozilla’s open source voice recognition engine Deep Speech. The first version of Deep Speech was released in November 2017 and has continued to evolve ever since. Together with the Common Voice dataset, we believe this open source voice recognition technology should be available to everybody. It’s our hope these technologies will enable developers to build a wave of innovative products and services.","ⵍⴰ ⵜⵙⵎⴰⴷ ⵜⴳⵔⵓⵎⵎⴰ ⵏ ⵉⵙⴼⴽⴰ ⵏ ⴽⴰⵎⵏⴼⵓⵢⵙ ⴰⵏⵙⵎⴰⵙⵙⵓ ⵏ ⵜⵓⴽⵣⴰ ⵜⴰⴳⵕⴹⴰⵏⵜ ⵏ ⵓⵙⴰⴳⵎ ⵓⵕⵥⵉⵎ ⵏ ⵎⵓⵣⵉⵍⴰ, ⴷⵉⴱⵙⴱⵉⵜⵛ. ⵜⴼⴼⵖ ⴷ ⵜⵍⵇⵇⵎⵜ ⵜⴰⵎⵣⵡⴰⵔⵓⵜ ⵏ ⴷⵉⴱⵙⴱⵉⵜⵛ ⴳ ⵏⵓⵡⴰⵏⴱⵉⵔ 2017, ⵉⵎⵎⴹⴼⵕ ⵓⵙⴱⵓⵖⵍⵓ ⵏⵏⵙ ⵙⴳ ⵡⴰⴽⵓⴷ ⴰⵏⵏ. ⴰⴽⴷ ⵜⴳⵔⵓⵎⵎⴰ ⵏ ⵉⵙⴼⴽⴰ ⵏ ⴽⴰⵎⵏⴼⵓⵢⵙ, ⵏⴼⵍⵙ ⵎⴰⵙ ⴷ ⵜⴰⵜⵉⴽⵏⵓⵍⵓⵊⵉⵜ ⵏ ⵜⵓⴽⵣⴰ ⵜⴰⴳⵕⴹⴰⵏⵜ ⵏ ⵓⵙⴰⴳⵎ ⵓⵕⵥⵉⵎ ⵉⵅⵚⵚⴰ ⵜⵜ ⴰⴷ ⵜⵙⴰⴳⴰ ⵉ ⴽⵓⵢⴰⵏ. ⵍⴰ ⵏⵙⵙⵉⵜⵉⵎ ⴰⴷ ⵣⵣⵎⵔⵏⵜ ⵜⴻⵜⵉⴽⵏⵓⵍⵓⵊⵉⵢⵉⵏ ⴰⴷ ⵉⵎⵙⵖⵉⵡⵙⵏ ⵃⵎⴰ ⴰⴷ ⵥⴽⵓⵏ ⵢⴰⵜ ⵜⴰⴹⴹⴰⵏⴳⴰ ⵏ ⵉⵢⴰⴼⵓⵜⵏ ⴷ ⵜⵏⵓⴼⴰ ⵉⵏⵏⴼⵍⵓⵍⵏ.","la tsmad tgrumma n isfka n kamnfuys ansmassu n tukza tagṛḍant n usagm uṛẓim n muzila, dibsbitsh. tffgh d tlqqmt tamzwarut n dibsbitsh g nuwanbir 2017, immḍfṛ usbughlu nns sg wakud ann. akd tgrumma n isfka n kamnfuys, nfls mas d tatiknulujit n tukza tagṛḍant n usagm uṛẓim ikhṣṣa tt ad tsaga i kuyan. la nssitim ad zzmrnt tetiknulujiyin ad imsghiwsn ḥma ad ẓkun yat taḍḍanga n iyafutn d tnufa innfluln.","لا تسماد تڭرومما ن يسفكا ن كامنفويس انسماسسو ن توكزا تاڭرضانت ن وساڭم ورزّيم ن موزيلا, ديبسبيتش. تففغ د تلققمت تامزواروت ن ديبسبيتش ڭ نووانبير 2017, يممضفر وسبوغلو ننس سڭ واكود انن. اكد تڭرومما ن يسفكا ن كامنفويس, نفلس ماس د تاتيكنولوجيت ن توكزا تاڭرضانت ن وساڭم ورزّيم يخصصا تت اد تساڭا ي كويان. لا نسسيتيم اد ززمرنت ت°تيكنولوجييين اد يمسغيوسن حما اد زّكون يات تاضضانڭا ن ييافوتن د تنوفا يننفلولن."
[interrupted by background noise],[ⵉⵏⵏⴳⵣⴰ ⵙ ⵓⴷⵉⴷⴰ ⵏ ⵜⵖⵔⴷⵉⵏ],[inngza s udida n tghrdin],[يننڭزا س وديدا ن تغردين]
Cite with a URL link or the full name of the work.,ⴱⴷⵔ ⵙ ⴽⵔⴰ ⵏ ⵓⵙⵖⵏ ⵏ ⵡⴰⵏⵙⴰ ⵏ ⵓⵡⵉⴱ ⵏⵉⵖ ⵉⵙⵎ ⵓⵎⵎⵉⴷ ⵏ ⵉⴳⵉ.,bdr s kra n usghn n wansa n uwib nigh ism ummid n igi.,بدر س كرا ن وسغن ن وانسا ن وويب نيغ يسم ومميد ن يڭي.
"Reach out to governments, non-profits or media organizations to see whether any of their web content, reports or other content can be dedicated to the public domain","ⵏⵢⴰⵍⴽⴰⵎ ⴰⴽⴷ ⵜⵏⴱⴰⴹⵉⵏ, ⵜⵉⵎⴰⴷⴷⴰⵙⵉⵏ ⵓⵔ ⵉⵙⵉⴳⴳⵉⵍⵏ ⵚⴰⵃⴰ ⵏⵉⵖ ⵜⵉⵏ ⵓⵙⵏⵖⵎⵙ ⵃⵎⴰ ⴰⴷ ⵜⵥⵕⴷ ⵉⵙ ⵉⵣⵎⵔ ⴰⴷ ⵉⵜⵜⵓⴼⴽ ⴽⵔⴰ ⵙⴳ ⵜⵓⵎⴰⵢⵜ ⵏ ⵓⵡⵉⴱ ⵏⵏⵙⵏⵜ, ⵜⴰⵏⴰⴹⵉⵏ ⵏⵉⵖ ⵜⵓⵎⴰⵢⵜ ⵢⴰⴹⵏ ⵉ ⵡⴰⴳⵍⴰ ⴰⴳⴷⵓⴷⴰⵏ","nyalkam akd tnbaḍin, timaddasin ur isiggiln ṣaḥa nigh tin usnghms ḥma ad tẓṛd is izmr ad ittufk kra sg tumayt n uwib nnsnt, tanaḍin nigh tumayt yaḍn i wagla agdudan","نيالكام اكد تنباضين, تيمادداسين ور يسيڭڭيلن صاحا نيغ تين وسنغمس حما اد تزّرد يس يزمر اد يتتوفك كرا سڭ تومايت ن وويب ننسنت, تاناضين نيغ تومايت ياضن ي واڭلا اڭدودان"
"First, check if your language <languageLink>already exists</languageLink>. If it isn’t, you can <languageRequestLink>ask about adding your language</languageRequestLink>. There are two stages. Translating the site, and collecting sentences","ⴳ ⵓⵎⵣⵡⴰⵔⵓ, ⵛⴰⴱⴱⴰⵢⴰⵜ ⵙ ⵜⵓⵜⵍⴰⵢⵜ ⵏⵏⵓⵏ ⵎⴽ <languageLink>ⵢⴰⴷ ⵜⵍⵍⴰ</languageLink>. ⵎⴽ ⵓⵔ ⵜⵍⵍⵉ, ⵜⵣⵎⵔⵎ ⴰⴷ <languageRequestLink>ⵜⴻⵜⵜⵔⵎ ⴰⵔⵏⵏⵓ ⵏ ⵜⵓⵜⵍⴰⵢⵜ ⵏⵏⵓⵏ</languageRequestLink>. ⵍⵍⴰⵏⵜ ⵙⵏⴰⵜ ⵜⴽⵍⵉⵡⵉⵏ. ⴰⵙⵓⵖⵍ ⵏ ⵓⵙⵉⵜ, ⴷ ⵓⴳⵔⵔⵓ ⵏ ⵜⵡⵉⵏⴰⵙ","g umzwaru, shabbayat s tutlayt nnun mk <languageLink>yad tlla</languageLink>. mk ur tlli, tzmrm ad <languageRequestLink>tettrm arnnu n tutlayt nnun</languageRequestLink>. llant snat tkliwin. asughl n usit, d ugrru n twinas","ڭ ومزوارو, شاببايات س توتلايت ننون مك <languageLink>ياد تللا</languageLink>. مك ور تللي, تزمرم اد <languageRequestLink>ت°تترم ارننو ن توتلايت ننون</languageRequestLink>. للانت سنات تكليوين. اسوغل ن وسيت, د وڭررو ن تويناس"
validate,ⵣⵣⵔⵢ,zzry,ززري
In Progress,ⴳ ⵡⴰⵍⴰⵢ,g walay,ڭ والاي
Irish,ⵜⴰⵢⵔⵍⴰⵏⴷⵉⵜ,tayrlandit,تايرلانديت
Other people validate those voice clips.,ⵍⴰ ⵣⵣⵔⴰⵢⵏ ⵎⴷⴷⵏ ⵢⴰⴹⵏⵉⵏ ⵜⵓⵙⵙⵉⴼⵉⵏ ⵜⵉⴳⵕⴹⴰⵏⵉⵏ ⴰⴷ.,la zzrayn mddn yaḍnin tussifin tigṛḍanin ad.,لا ززراين مددن ياضنين توسسيفين تيڭرضانين اد.
How does Common Voice calculate hours?,ⵎⴰⵏⵎⴽ ⵙ ⵉⵙⵙⵓⴹⵓⵏ ⴽⴰⵎⵏⴼⵓⵢⵙ ⵜⵉⵙⵔⴰⴳⵉⵏ?,manmk s issuḍun kamnfuys tisragin?,مانمك س يسسوضون كامنفويس تيسراڭين?
Frequently Asked Questions,ⵉⵙⵇⵙⵉⵜⵏ ⴷ ⵉⵜⵜⴰⵖⵓⵍⵏ,isqsitn d ittaghuln,يسقسيتن د يتتاغولن
Tahitian,ⵜⴰⵜⴰⵀⵉⵜⵉⵜ,tatahitit,تاتاهيتيت
{ $num } downloads,{ $num } ⵜⴰⴳⴰⵎⵉⵏ,{ $num } tagamin,{ $num } تاڭامين
Speak now,ⵙⵉⵡⵍ ⴷⵖⵉ,siwl dghi,سيول دغي
"Upload of this clip keeps failing, keep retrying?","ⴰⵙⴽⵜⵔ ⵏ ⵜⵓⵙⵙⵉⴼⵜ ⴰ ⵉⵇⵇⵉⵎ ⵉⵙⴼⵓⴳⴳⵓⵔ, ⴰⴷ ⵙⵓⵍ ⵜⴻⵜⵜⴰⵔⵎⴷ?","asktr n tussift a iqqim isfuggur, ad sul tettarmd?","اسكتر ن توسسيفت ا يققيم يسفوڭڭور, اد سول ت°تتارمد?"
